类别,物料,建议规格,数量,淘宝搜索词,单价区间_元,小计区间_元,是否建议备用,备注
主控,RP2040-Zero,Waveshare微雪原版_Type-C_2MB_Flash,1,RP2040-Zero 微雪 Type-C,25-35,25-35,否,确认板载WS2812
显示,ST7789屏幕,1.54英寸_240x240_SPI_3.3V逻辑,1,1.54寸 ST7789 240*240 SPI 3.3V,18-28,18-28,是,备用一块另加约18-28元
传感器,GY-521_MPU6050,已焊弯针版,1,GY-521 MPU6050 已焊弯针,4-7,4-7,否,3.3V供电
输入,TTP223触摸模块,3.3V兼容,1,TTP223 电容触摸模块,1-3,1-3,是,验证隔PETG触摸
声音,无源蜂鸣器及驱动,3.3V控制模块或蜂鸣器加S8050和1k电阻,1,3.3V 无源蜂鸣器模块,2-5,2-5,否,不得由GPIO直接驱动未知负载
开关,静音开关,小型拨动或滑动开关,1,迷你拨动开关 2脚,1-2,1-2,是,接GP11与GND
线束,JST-PH_2.0线束,2P_3P_4P及屏幕多芯线,1批,JST PH2.0 端子线,6-12,6-12,是,模块到货后确定线长
保护,透明PET片,约0.3mm厚,1片,透明 PET 薄片 0.3mm,2-5,2-5,是,覆盖屏幕表面
紧固,M2螺丝和热熔铜螺母,多规格小包装,1批,M2 螺丝 热熔铜螺母,6-12,6-12,是,先打印孔径试片
供电,USB-C数据或电源线,质量可靠_约1m,1,USB Type-C 数据线 1米,5-10,5-10,否,不含电源适配器
合计,电子与装配物料,不含3D打印材料及工具,1批,,70-119,70-119,,多店运费和起售数量使实际付款约100-160元
