主控引脚,信号,目标模块,目标引脚,电压或方向,线束建议,备注
3V3,3.3V,GY-521,VCC,电源输出,4芯JST-PH,不得接5V
GND,GND,GY-521,GND,地,4芯JST-PH,
GP0,I2C_SDA,GY-521,SDA,双向3.3V,4芯JST-PH,
GP1,I2C_SCL,GY-521,SCL,输出3.3V,4芯JST-PH,
3V3,3.3V,ST7789,VCC,电源输出,屏幕多芯JST-PH,最终按模块资料确认
GND,GND,ST7789,GND,地,屏幕多芯JST-PH,
GP2,SPI_SCK,ST7789,SCL或SCK,输出3.3V,屏幕多芯JST-PH,
GP3,SPI_MOSI,ST7789,SDA或MOSI,输出3.3V,屏幕多芯JST-PH,
GP5,SPI_CS,ST7789,CS,输出3.3V,屏幕多芯JST-PH,部分模块可能省略
GP6,DISPLAY_DC,ST7789,DC,输出3.3V,屏幕多芯JST-PH,
GP7,DISPLAY_RST,ST7789,RES或RST,输出3.3V,屏幕多芯JST-PH,部分模块可能省略
GP8,BACKLIGHT_CTRL,ST7789,BLK,输出3.3V,按模块确定,需确认模块背光电路后连接
3V3,3.3V,TTP223,VCC,电源输出,3芯JST-PH,
GND,GND,TTP223,GND,地,3芯JST-PH,
GP9,TOUCH_IN,TTP223,OUT,输入3.3V,3芯JST-PH,
GP10,BUZZER_PWM,蜂鸣器驱动,IN或1k电阻,输出3.3V,2芯JST-PH,不得直接驱动未知电流蜂鸣器
GND,GND,蜂鸣器驱动,GND,地,2芯JST-PH,
GP11,MUTE_IN,静音开关,一端,输入内部上拉,2芯JST-PH,
GND,GND,静音开关,另一端,地,2芯JST-PH,
GP16,ONBOARD_RGB,板载WS2812,DATA,板内连接,无需线束,RP2040-Zero板载
